"SIH_ORGPK_ID","CAMPUS","CAMPUS_alias"
"904","ALKI MIDDLE SCHOOL","LAPLACE MIDDLE SCHOOL"
"868","ANDERSON ELEMENTARY SCHOOL","DIRICHLET ELEMENTARY SCHOOL"
"900","CHINOOK ELEMENTARY SCHOOL","LORENTZ MIDDLE SCHOOL"
"883","COLUMBIA RIVER HIGH SCHOOL","THOMAS BAYES HIGH SCHOOL"
"880","DISCOVERY MIDDLE SCHOOL","RICHARD HAMMING MIDDLE SCHOOL"
"876","EISENHOWER ELEMENTARY SCHOOL","KRONECKER MIDDLE SCHOOL"
"901","FELIDA ELEMENTARY SCHOOL","DIRAC ELEMENTARY SCHOOL"
"907","FORT VANCOUVER HIGH SCHOOL","J K MAXWELL HIGH SCHOOL"
"891","FRANKLIN ELEMENTARY SCHOOL","KOLMOGOROV ELEMENTARY SCHOOL"
"869","FRUIT VALLEY ELEMENTARY SCHOOL","ROBERT HANSEN ELEMENTARY SCHOOL"
"879","GAISER MIDDLE SCHOOL","DEMPSTER MIDDLE SCHOOL"
"892","HARNEY ELEMENTARY SCHOOL","VON NEUMANN ELEMENTARY SCHOOL"
"870","HAZEL DELL ELEMENTARY SCHOOL","AMPERE ELEMENTARY SHCOOL"
"893","HOUGH ELEMENTARY SCHOOL","J PEARL ELEMENTARY SCHOOL"
"884","HUDSON'S BAY HIGH SCHOOL","PETER HIGGS HIGH SCHOOL"
"903","JASON LEE MIDDLE SCHOOL","J M  KEYENES MIDDLE SCHOOL"
"905","JEFFERSON MIDDLE SCHOOL","MICHAEL FARADAY MIDDLE SCHOOL"
"877","KING ELEMENTARY SCHOOL","GAUSS ELEMENTARY SCHOOL"
"871","LAKE SHORE ELEMENTARY SCHOOL","LOMONOSOV ELEMENTARY SCHOOL"
"888","LEWIS AND CLARK HIGH SCHOOL","RAYMOND FISCHER HIGH SCHOOL"
"872","LINCOLN ELEMENTARY SCHOOL","KARL PEARSON ELEMENTARY SCHOOL"
"894","MARSHALL ELEMENTARY SCHOOL","D C STOVE ELEMENTARY SCHOOL"
"902","MCLOUGHLIN MIDDLE SCHOOL","D KAHNEMAN MIDDLE SCHOOL"
"895","MINNEHAHA ELEMENTARY SCHOOL","GEORGE BOX ELEMENTARY SCHOOL"
"898","NIERENBERG CENTER ELEMENTARY","LEIBNITZ ELEMENTARY SCHOOL"
"873","OGDEN ELEMENTARY SCHOOL","REIMANN ELEMENTARY SCHOOL"
"878","ROOSEVELT ELEMENTARY SCHOOL","DE FINETTI ELEMENTARY SCHOOL"
"899","SACAJAWEA ELEMENTARY SCHOOL","H JEFFRIES ELEMENTARY SCHOOL"
"874","SALMON CREEK ELEMENTARY SCHOOL","JOHANNES KEPLER ELEMENTARY SCHOOL"
"908","SKYVIEW HIGH SCHOOL","ENRICO FERMI MIDDLE SCHOOL"
"897","TRUMAN ELEMENTARY SCHOOL","RUDOLF CLAUSIUS ELEMENTARY SCHOOL"
"885","VANCOUVER iTECH PREPARATORY","CLAUDE SHANNON SCI-TECH MAGNET SCHOOL"
"896","WALNUT GROVE ELEMENTARY SCHOOL","MAX PLANCK ELEMENTARY SCHOOL"
"875","WASHINGTON ELEMENTARY SCHOOL","GLEN SHAFER ELEMENTARY SCHOOL"
